Station;latitude;longitude;Network;elevation;10km_to_coast
TA00001;-1.1233;34.398;TAHMO;1393.00;
TA00003;5.4469;-2.1339;TAHMO;63.00;
TA00005;5.8077;-2.4264;TAHMO;125.00;
TA00007;7.1883;-2.0975;TAHMO;341.00;
TA00010;7.3896;-2.186;TAHMO;337.00;
TA00011;6.9857;-2.3961;TAHMO;247.00;
TA00013;5.4696;-1.9085;TAHMO;106.00;
TA00014;6.3453;-2.8264;TAHMO;199.00;
TA00015;6.6651;-3.0971;TAHMO;200.00;
TA00016;5.5731;-0.2445;TAHMO;32.00;1
TA00018;-0.582;34.6073;TAHMO;1412.00;
TA00019;-0.5241;34.2556;TAHMO;1281.00;
TA00020;-1.6534;36.8624;TAHMO;1643.00;
TA00023;-2.3886;38.0408;TAHMO;791.00;
TA00025;-1.3018;36.7602;TAHMO;1802.00;
TA00026;-0.2871;36.17;TAHMO;1940.00;
TA00029;-0.5008;36.5875;TAHMO;2546.00;
TA00030;-1.0947;35.8923;TAHMO;1926.00;
TA00041;6.1969;-1.6826;TAHMO;221.00;
TA00043;6.6542;-0.6692;TAHMO;481.00;
TA00045;6.4006;-0.1466;TAHMO;372.00;
TA00046;6.3088;-1.5298;TAHMO;256.00;
TA00049;6.3967;-1.2828;TAHMO;196.00;
TA00050;6.6256;-1.0595;TAHMO;231.00;
TA00054;-0.2393;35.7289;TAHMO;2514.00;
TA00061;-0.3794;35.2507;TAHMO;1959.00;
TA00063;0.2031;35.1167;TAHMO;2015.00;
TA00067;-1.7943;37.6212;TAHMO;1202.00;
TA00070;-4.3118;39.3719;TAHMO;237.00;
TA00071;-4.4608;39.4828;TAHMO;20.00;1
TA00072;-4.079;39.6569;TAHMO;14.00;1
TA00074;-0.5661;37.0744;TAHMO;1727.00;
TA00077;-0.3831;35.0684;TAHMO;1765.00;
TA00080;-1.0876;36.8184;TAHMO;1777.00;
TA00098;5.652;-0.1645;TAHMO;72.00;
TA00099;-3.3122;36.7719;TAHMO;1938.00;
TA00103;-29.6278;30.4029;TAHMO;673.00;
TA00108;-0.9919;37.5073;TAHMO;1141.00;
TA00112;8.049376;0.191168;TAHMO;136;
TA00113;8.2711;0.5153;TAHMO;214.00;
TA00116;6.8458;0.4407;TAHMO;732.00;
TA00117;5.8951;0.9896;TAHMO;10.00;1
TA00118;5.6414;-0.0119;TAHMO;18.00;1
TA00120;4.9719;-2.3227;TAHMO;28.00;1
TA00122;5.7786;-2.0902;TAHMO;71.00;
TA00124;5.5675;-1.6942;TAHMO;113.00;
TA00126;5.758;-0.2217;TAHMO;330.00;
TA00127;5.6384;-0.2447;TAHMO;46.00;
TA00129;-3.3909;37.7177;TAHMO;755.00;
TA00130;-3.4976;38.5859;TAHMO;1154.00;
TA00131;-3.9603;39.7441;TAHMO;8.00;1
TA00133;-2.2984;40.694;TAHMO;5.00;1
TA00136;10.8834;-1.0711;TAHMO;187.00;
TA00141;0.3881;35.7868;TAHMO;2103.00;
TA00154;-4.2311;37.8478;TAHMO;882.00;
TA00155;-2.523;36.8294;TAHMO;1312.00;
TA00156;-1.7011;38.0683;TAHMO;872.00;
TA00157;-2.6567;38.1072;TAHMO;854.00;
TA00166;-0.3195;37.6591;TAHMO;1404.00;
TA00171;-0.0027;34.5969;TAHMO;1532.00;
TA00172;0.3539;37.5877;TAHMO;1110.00;
TA00174;0.6298;36.988;TAHMO;1536.00;
TA00179;-26.1951;28.0313;TAHMO;1743.00;
TA00182;-1.2215;36.8929;TAHMO;1616.00;
TA00183;-1.7114;35.5653;TAHMO;1952.00;
TA00186;-0.5498;38.2128;TAHMO;877.00;
TA00187;-0.3138;38.22;TAHMO;608.00;
TA00189;-0.7953;37.6659;TAHMO;1085.00;
TA00190;-0.5166;37.4562;TAHMO;1474.00;
TA00192;-26.0645;27.9533;TAHMO;1546.00;
TA00196;-0.5513;37.2279;TAHMO;1433.00;
TA00241;5.9595;-0.0945;TAHMO;467.00;
TA00242;-26.248;27.8545;TAHMO;1657.00;
TA00243;-26.1085;28.1126;TAHMO;1524.00;
TA00244;-25.99;28.1212;TAHMO;1555.00;
TA00247;1.0984;36.714;TAHMO;1954.00;
TA00249;9.4942;-2.4248;TAHMO;304.00;
TA00251;10.425;-2.5545;TAHMO;323.00;
TA00253;10.6704;-2.4648;TAHMO;308.00;
TA00254;10.9132;-0.8102;TAHMO;213.00;
TA00259;8.4761;-0.0285;TAHMO;196.00;
TA00260;8.8628;0.052;TAHMO;225.00;
TA00264;11.0689;-0.1148;TAHMO;252.00;
TA00265;7.9962;-0.8821;TAHMO;115.00;
TA00266;7.782;-0.2126;TAHMO;130.00;
TA00268;7.9454;-2.6929;TAHMO;345.00;
TA00269;-6.7657;39.2079;TAHMO;92.00;1
TA00270;-6.8424;39.1568;TAHMO;96.00;
TA00271;-6.8799;39.0249;TAHMO;174.00;
TA00272;-6.89;39.1179;TAHMO;134.00;
TA00273;-6.8126;39.2662;TAHMO;3.00;1
TA00275;7.758;-2.6491;TAHMO;312.00;
TA00277;6.8246;-1.8683;TAHMO;241.00;
TA00280;6.5379;-0.7591;TAHMO;256.00;
TA00281;1.5372;35.4569;TAHMO;933.00;
TA00282;6.5292;0.2805;TAHMO;153.00;
TA00301;6.1242;1.126;TAHMO;21.00;1
TA00302;6.1079;-0.2642;TAHMO;198.00;
TA00308;5.9685;-0.994;TAHMO;136.00;
TA00310;5.1166;-1.289;TAHMO;15.00;1
TA00319;5.7973;-0.3463;TAHMO;62.00;
TA00354;3.1928;35.6754;TAHMO;498.00;
TA00355;3.4981;35.8439;TAHMO;387.00;
TA00359;1.0153;39.4952;TAHMO;214.00;
TA00360;-1.3795;38.0035;TAHMO;1126.00;
TA00372;-26.3361;27.8849;TAHMO;1561.00;
TA00373;-26.3078;28.0233;TAHMO;1566.00;
TA00377;0.4038;37.1621;TAHMO;1865.00;
TA00379;0.4023;36.3773;TAHMO;2031.00;
TA00386;1.0675;38.6692;TAHMO;297.00;
TA00391;5.7602;-0.2312;TAHMO;355.00;
TA00392;7.7556;-2.1016;TAHMO;322.00;
TA00393;6.661;-1.5811;TAHMO;272.00;
TA00416;-0.6068;36.5811;TAHMO;2488.00;
TA00422;-4.2113;37.8857;TAHMO;1387.00;
TA00441;-0.5993;34.7442;TAHMO;1538.00;
TA00444;-2.4154;40.2005;TAHMO;21.00;
TA00448;-0.9326;37.6773;TAHMO;1133.00;
TA00470;-26.483;27.8677;TAHMO;1575.00;
TA00473;-0.5124;35.9568;TAHMO;2580.00;
TA00480;-1.3762;37.7976;TAHMO;1078.00;
TA00486;-28.9486;26.0363;TAHMO;1293.00;
TA00493;-6.9108;39.0756;TAHMO;270.00;
TA00494;-6.8339;39.1675;TAHMO;113.00;
TA00495;-6.8466;39.2461;TAHMO;31.00;1
TA00567;5.5971;-0.1942;TAHMO;63.00;1
TA00568;-1.2734;35.2235;TAHMO;1706.00;
TA00569;-1.4042;35.0087;TAHMO;1608.00;
TA00573;-1.0913;35.8545;TAHMO;1930.00;
TA00589;-2.4383;32.747;TAHMO;1155.00;
TA00590;-2.5379;32.9055;TAHMO;1153.00;
TA00591;-7.0704;37.6895;TAHMO;1012.00;
TA00592;-7.0593;37.5746;TAHMO;1099.00;
TA00593;-6.1537;37.5908;TAHMO;390.00;
TA00594;-6.9918;38.2911;TAHMO;115.00;
TA00595;-6.3964;37.463;TAHMO;386.00;
TA00617;6.691;-1.5191;TAHMO;274.00;
TA00621;-1.633;37.1462;TAHMO;1768.00;
TA00625;0.5776;34.8543;TAHMO;1621.00;
TA00626;0.6421;35.0487;TAHMO;1857.00;
TA00627;0.8428;35.9934;TAHMO;1807.00;
TA00628;0.5023;35.1573;TAHMO;1906.00;
TA00629;1.0412;35.3254;TAHMO;2265.00;
TA00630;0.9292;35.3875;TAHMO;2066.00;
TA00631;0.4866;35.4202;TAHMO;2277.00;
TA00647;5.6598;-0.1904;TAHMO;82.00;
TA00651;5.6753;-0.1792;TAHMO;60.00;
TA00652;5.5256;-0.2637;TAHMO;15.00;1
TA00663;-8.274;36.3569;TAHMO;254.00;
TA00664;-7.293;36.7542;TAHMO;812.00;
TA00670;-7.8051;36.9053;TAHMO;299.00;
TA00671;-8.7862;35.8135;TAHMO;304.00;
TA00672;-6.1803;37.1468;TAHMO;834.00;
TA00676;-6.7804;38.9735;TAHMO;160.00;
TA00678;-1.6069;37.1517;TAHMO;1664.00;
TA00680;-1.1812;35.0444;TAHMO;1850.00;
TA00689;10.5011;-1.9686;TAHMO;292.00;
TA00690;8.247;-2.2527;TAHMO;166.00;
TA00691;5.815;-0.2162;TAHMO;123.00;
TA00712;-6.6763;39.1316;TAHMO;95.00;1
TA00713;-6.4904;37.4632;TAHMO;367.00;
TA00714;7.508;3.8903;TAHMO;210.00;
TA00725;6.998;-2.2148;TAHMO;237.00;
TA00750;-6.8053;39.1398;TAHMO;131.00;
TA00751;-6.8487;39.0822;TAHMO;177.00;
TA00753;-6.7798;39.1791;TAHMO;127.00;1
TA00754;-0.3884;37.1427;TAHMO;1998.00;
TA00760;-3.3434;37.3247;TAHMO;901.00;
TA00761;-3.3131;37.5529;TAHMO;1217.00;
TA00762;-3.1987;37.2344;TAHMO;1530.00;
TA00763;-6.9655;39.0017;TAHMO;250.00;
TA00767;-2.672;38.3697;TAHMO;544.00;
TA00777;-6.7843;39.1471;TAHMO;85.00;
TA00780;-6.4655;37.4726;TAHMO;364.00;
